2020-04-03 22:55:39 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='91.230.199.174', port=45248): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001C7461C99E8>, 'Connection to 91.230.199.174 timed out. (connect timeout=10)'))
2020-04-03 22:55:49 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x000001C7461C9898>, 'Connection to 91.230.199.174 timed out. (connect timeout=10)'))
2020-04-03 22:56:00 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='103.197.48.178', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001C7461DA470>, 'Connection to 103.197.48.178 timed out. (connect timeout=10)'))
2020-04-03 22:56:10 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x000001C7461DABE0>, 'Connection to 103.197.48.178 timed out. (connect timeout=10)'))
2020-04-03 22:58:11 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='118.175.207.25', port=38325): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025B5D25EBE0>, 'Connection to 118.175.207.25 timed out. (connect timeout=10)'))
2020-04-03 22:58:21 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000025B5D2857F0>, 'Connection to 118.175.207.25 timed out. (connect timeout=10)'))
2020-04-03 22:58:31 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='103.81.104.141', port=8080): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025B5D285550>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
2020-04-03 22:58:41 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000025B5D2A25F8>, 'Connection to 103.81.104.141 timed out. (connect timeout=10)'))
2020-04-03 22:58:51 | ERROR | httpbin_vaildator.py:89 | HTTPConnectionPool(host='91.230.199.174', port=45248): Max retries exceeded with url: http://httpbin.org/get (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025B5D285198>, 'Connection to 91.230.199.174 timed out. (connect timeout=10)'))
2020-04-03 22:59:01 | ERROR | httpbin_vaildator.py:89 | HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /get (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x0000025B5D2858D0>, 'Connection to 91.230.199.174 timed out. (connect timeout=10)'))
